  mla_const_name    ,id,Neighbours
 YELAHANKA,150,152
 KR PURAM,151,160|152|161|174
 BYATARAYANAPURA,152,155|158|150|151|160
 YASHWANTHPURA,153,155|154|176
 RAJARAJESWARINAGARA,154,176|156|155|157|166|171|153
 T.DASARAHALLI,155,152|154|153
 MAHALAKSHMI LAYOUT,156,165|157|154|166
 MALLESHWARAM,157,154|158|156|162|164|165
 HEBBAL,158,152|157|159
 PULAKESHINAGAR,159,160|162|157|158
 SARVAJNA NAGARA,160,151|152|159|161
 CV RAMANAGAR,161,151|160|159|162|163|174
 SHIVAJINAGAR,162,159|157|164|169|163|161
 SHANTHINAGAR,163,161|162|169|172|175|174
 GANDHINAGAR,164,162|157|165|167|168|169
 RAJAJINAGAR,165,157|156|166|164
 GOVINDRAJ NAGAR,166,156|154|165|167
 VIJAYNAGAR,167,154|166|170|168|164
 CHAMARAJPET,168,167|170|169|164
 CHICKPETE,169,162|164|168|170|171|173|172|163
 BASAVANAGUDI,170,168|167|171|169
 PADMANABANAGAR,171,176|173|169|170|154
 BTM LAYOUT,172,163|169|173|175
 JAYANAGAR,173,169|172|175|171
 MAHADEVAPURA,174,151|161|163|175
 BOMMANAHALLI,175,174|163|172|173|176
 BANGALORE SOUTH,176,175|171|153|154
