1,Chikkodi, Katti Ramesh Vishwanath,BJP
2,Belgaum, Angadi Suresh Channabasappa,BJP
3,Bagalkot, Gaddigoudar P.C.,BJP
4,Bijapur, Ramesh Chandappa Jigajinagi,BJP
5,Gulbarga, Mallikarjun Kharge,INC
6,Raichur, Pakkirappa. S.,BJP
7,Bidar, N. Dharam Singh,INC
8,Koppal, Shivaramagouda Shivanagouda,BJP
9,Bellary, J. Shantha,BJP
10,Haveri, Udasi Shivkumar Chanabasappa,BJP
11,Dharwad, Pralhad Joshi,BJP
12,Uttara, Kannada Anantkumar Hegde,BJP
13,Davanagere, Siddeswara G. M.,BJP
14,Shimoga, Yeddyurappa,Shri Raghavendra,BJP
15,Udupi, Chikmagalur D.V.Sadananda Gowda,BJP
16,Hassan, H. D. Devegowda,JD (S)
17,Dakshina, Kannada Nalin Kumar Kateel,BJP
18,Chitradurga, Janardhana Swamy,BJP
19,Tumkur, G.S. Basavaraj,BJP
20,Mandya, N Cheluvaraya Swamy,JD (S)
21,Mysore, Adagur H Vishwanath,INC
22,Chamarajanagar, R.Dhruvanarayana,INC
23,Bangalore Rural, H. D. Kumaraswamy,JD (S)
24,Bangalore North, D. B. Chandre Gowda,BJP
25,Bangalore Central, P. C. Mohan,BJP
26,Bangalore South, Ananth Kumar,BJP
27,Chikkballapur, M.Veerappa Moily,INC
28,Kolar, K. H. Muniyappa,INC
