'TYPE','DISTRICT','BLK/PROJ','CLUSTER/CIRCLE','SID','S-NAME','MP Constituency','MP Name'
'SCHOOL','BANGLORE  ','ANEKAL','ANEKAL',32078,'GKHPS OLD ANEKAL','Bangalore Rural','Kumaraswamy'
'SCHOOL','BANGLORE  ','ANEKAL','ANEKAL',35470,'GKLPS NARAYANA PURA','Bangalore Rural','Kumaraswamy'
'SCHOOL','BANGLORE  ','ANEKAL','MUGALURU',33362,'GKHPS KUTHAGANNA HALLI','Bangalore Rural','Kumaraswamy'
'SCHOOL','BANGLORE  ','ANEKAL','SABMANGALA',33428,'GKLPS RACHAMANAHALLI','Bangalore Rural','Kumaraswamy'
'SCHOOL','BANGLORE  ','ANEKAL','SABMANGALA',35475,'GKLPS ASHRAYAMANE YOJANE','Bangalore Rural','Kumaraswamy'
'SCHOOL','BANGLORE  ','ANEKAL','SARJAPURA',32947,'GKHPS JIGALA','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Attibele',31489,'KAMBALEPURA','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Attibele',33607,'AREHALLY','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Dommasanddra',34030,'DOMMASANDRA HB','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Hennagara',30817,'KONAMADIVALA','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Marasur',29641,'TO BE DELETED RECHMANAHALLI','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Marasur',29691,'BIDARGERE','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Marasur',33928,'BHAKTIPUR','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Marasur',33930,'KARPOOR','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Sarjapura',33453,'SARJAPURA 1','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Sarjapura',33709,'SULTHANPALYA','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','chandapura',33663,'IGGALURU','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',31291,'KODIGEHALLI- 2','Bangalore North','DB Chandregowda'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',31292,'ASHWATH NAGARA','Bangalore North','DB Chandregowda'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',33899,'BHOPASANDRA','Bangalore North','DB Chandregowda'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',33900,'NAGASHETTIHALLI','Bangalore North','DB Chandregowda'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',33902,'KEMPAPURA-1','Bangalore North','DB Chandregowda'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',34088,'SANJEEVININAGARA II','Bangalore North','DB Chandregowda'
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','Begure',30452,'YEELU KUNTE','Bangalore Rural','Kumaraswamy'
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','Begure',34026,'KENDRAKARAGRUHA','Bangalore Rural','Kumaraswamy'
